Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,bernanke20110429a.pdf,2011-04-29,Community Development in Challenging Times,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Community Affairs Research Conference,"Arlington, Virginia",0,0,0
Speech,bernanke20110505a.pdf,2011-05-05,Implementing a Macroprudential Approach to Supervision and Regulation,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago 47th Annual Conference on Bank Structure and Competition,"Chicago, Illinois",0,0,0
Speech,yellen20110506a.pdf,2011-05-06,Reaping the Full Benefits of Financial Openness,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"Bank of Finland 200th Anniversary Conference Helsinki, Finland","Helsinki, Finland",0,0,0
Speech,duke20110510a.pdf,2011-05-10,Fostering Innovation in Community Development Finance,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of St. Louis 2011 Exploring Innovation: A Conference on Community Development Finance,"St. Louis, Missouri",0,0,0
Speech,bernanke20110512b.pdf,2011-05-12,Chairman Ben S. Benanke remarks at the U.S.-Mexico Chamber of Commerce Good Neighbor Awards,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,U.S.-Mexico Chamber of Commerce Good Neighbor Awards,"Washington, D.C.",0,0,0
Testimony,bernanke20110512a.pdf,2011-05-12,Dodd-Frank Implementation: Monitoring Systemic Risk and Promoting Financial Stability,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20110516a.pdf,2011-05-16,Promoting Research and Development: The Government’s Role,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,“New Building Blocks for Jobs and Economic Growth” Georgetown University,"Washington, D.C.",0,0,0
Speech,duke20110524a.pdf,2011-05-24,"Research, Policy, and the Future of Financial Education",Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Testimony,alvarez20110601a.pdf,2011-06-01,Federal Reserve Lending Disclosures,Scott G. Alvarez,General Counsel Federal Reserve Bank of New York,0,0,Subcommittee on Domestic Monetary Policy and Technology,Committee on Financial Services,U.S. House of Representatives
Speech,yellen20110601a.pdf,2011-06-01,Assessing Potential Financial Imbalances in an Era of Accommodative Monetary Policy,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,2011 International Conference: Real and Financial Linkage and Monetary Policy Bank of Japan,"Tokyo, Japan",0,0,0
Speech,tarullo20110603a.pdf,2011-06-03,Regulating Systemically Important Financial Firms,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Peter G. Peterson Institute for International Economics,"Washington, D.C.",0,0,0
Speech,bernanke20110607a.pdf,2011-06-07,The U.S. Economic Outlook,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,International Monetary Conference,"Atlanta, Georgia",0,0,0
Speech,yellen20110609a.pdf,2011-06-09,Housing Market Developments and Their Effects on Low- and Moderate-Income Neighborhoods,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,2011 Federal Reserve Bank of Cleveland Policy Summit,"Cleveland, Ohio",0,0,0
Speech,bernanke20110614a.pdf,2011-06-14,Fiscal Sustainability,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Conference of the Committee for a Responsible Federal Budget,"Washington, D.C.",0,0,0
Testimony,foley20110615a.pdf,2011-06-15,Banking supervision,Michael R. Foley,Senior Associate Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Protection,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,gibson20110615a.pdf,2011-06-15,Implementation of Title VII of the Dodd-Frank Act,Michael R. Foley,Senior Associate Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,0,"Committee on Agriculture, Nutrition, and Forestry",U.S. Senate
Testimony,tarullo20110616a.pdf,2011-06-16,Capital and liquidity standards,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,raskin20110629a.pdf,2011-06-29,Economic and Financial Inclusion in 2011: What it Means for Americans and our Economic Recovery,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,New America Foundation Forum,"Washington, D.C.",0,0,0
Testimony,statement20110707a.pdf,2011-07-07,On mortgage servicing Statement for the Record,FRB Staff (Statement for the Record),FRB Staff (Statement for the Record),0,0,Subcommittee on Financial Institutions and Subcommittee on Consumer Credit and Oversight and Investigations,Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20110713a1.pdf,2011-07-13,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,braunstein20110713a.pdf,2011-07-13,Mortgage origination,Sandra F. Braunstein,"Director, Division of Consumer and Community Affairs Board of Governors of the Federal Reserve System",0,0,"Subcommittee on Insurance, Housing, and Community Opportunity",Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20110721a.pdf,2011-07-21,Dodd-Frank Act,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,van_der_weide_20110727.pdf,2011-07-27,Credit Ratings Agencies,Mark E. Van Der Weide,Senior Associate Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on Oversight and Investigations,Committee on Financial Services,U.S. House of Representatives
Testimony,bertsch_testimony_20110816.pdf,2011-08-16,Banking Supervision and Regulation (Field Hearing),Kevin M. Bertsch,Associate Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Speech,bernanke20110826a.pdf,2011-08-26,The Near- and Longer-Term Prospects for the U.S. Economy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Kansas City Economic Symposium,"Jackson Hole, Wyoming",0,0,0
Speech,duke20110901a.pdf,2011-09-01,Rebalancing the Housing Market,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Federal Reserve Board Policy Forum: “The Housing Market Going Forward: Lessons Learned from the Recent Crisis”,"Washington, D.C.",0,0,0
Speech,bernanke20110908a1.pdf,2011-09-08,The U.S. Economic Outlook,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Economic Club of Minnesota 2011-2012 Season Inaugural Luncheon,"Minneapolis, Minnesota",0,0,0
Speech,bernanke20110915a1.pdf,2011-09-15,"“Regulation of Systemic Risk,” a conference cosponsored by the Federal Reserve Board and the Journal of Money, Credit and Banking",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,"“Regulation of Systemic Risk,” a conference cosponsored by the Federal Reserve Board and the Journal of Money, Credit and Banking","Washington, D.C.",0,0,0
Speech,tarullo20110915a1.pdf,2011-09-15,Industrial Organization and Systemic Risk: An Agenda for Further Research,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Conference on Regulating Systemic Risk sponsored by the Federal Reserve Board and the Journal of Money, Credit, and Banking","Washington, D.C.",0,0,0
Speech,raskin20110926a.pdf,2011-09-26,Monetary Policy and Job Creation,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,"University of Maryland Robert H. Smith School of Business Distinguished Speaker Series Washington, D.C.","Washington, D.C.",0,0,0
Speech,bernanke20110928a.pdf,2011-09-28,Lessons from Emerging Market Economies on the Sources of Sustained Growth,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Cleveland Clinic “Ideas for Tomorrow” Series,"Cleveland, Ohio",0,0,0
Testimony,bernanke20111004a.pdf,2011-10-04,Economic Outlook and Recent Monetary Policy Actions,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,raskin20111004a.pdf,2011-10-04,Legal Opportunities and Challenges in Crafting a Foreclosure Response,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Maryland State Bar Association Advanced Real Property Institute,"Columbia, Maryland",0,0,0
Speech,bernanke20111018a.pdf,2011-10-18,The Effects of the Great Recession on Central Bank Doctrine and Practice,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,56th Economic Conference Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Speech,tarullo20111020a.pdf,2011-10-20,"Unemployment, the Labor Market, and the Economy",Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,World Leaders Forum Columbia University,"New York, New York",0,0,0
Speech,yellen20111021a.pdf,2011-10-21,The Outlook for the U.S. Economy and Economic Policy,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,2011 Annual Meeting of the Financial Management Association International,"Denver, Colorado",0,0,0
Speech,duke20111022a.pdf,2011-10-22,The Federal Reserve System and Individual Financial Planning,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,2011 Virginia Beach Financial Planning Day,"Virginia Beach, Virginia",0,0,0
Speech,tarullo20111104a.pdf,2011-11-04,The International Agenda for Financial Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,American Bar Association Banking Law Committee Fall Meeting,"Washington, D.C.",0,0,0
Speech,bernanke20111109a.pdf,2011-11-09,Welcoming Remarks,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,conference on Small Business and Entrepreneurship during an Economic Recovery Board of Governors,"Washington, D.C.",0,0,0
Speech,tarullo20111109a.pdf,2011-11-09,The Evolution of Capital Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Clearing House Business Meeting and Conference,"New York, New York",0,0,0
Speech,bernanke20111110a.pdf,2011-11-10,Town Hall Meeting Remarks,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Town Hall Meeting with Soldiers and Their Families,"Fort Bliss, Texas",0,0,0
Speech,yellen20111111a.pdf,2011-11-11,Pursuing Financial Stability at the Federal Reserve,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"Fourteenth Annual International Banking Conference Federal Reserve Bank of Chicago Chicago, Illinois","Chicago, Illinois",0,0,0
Speech,yellen20111129a1.pdf,2011-11-29,Aggregate Demand and the Global Economic Recovery,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"“Asia’s Role in the Post-Crisis Global Economy” Asia Economic Policy Conference Sponsored by the Federal Reserve Bank of San Francisco San Francisco, California","San Francisco, California",0,0,0
Testimony,tarullo20111206a.pdf,2011-12-06,Dodd-Frank Act Implementation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,alvarez20111213a.pdf,2011-12-13,Statement on the foreclosure review process,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,Kamin20111216a.pdf,2011-12-16,The Economic Situation in Europe,Steven B. Kamin,Director Division of International Finance Board of Governors of the Federal Reserve System,0,0,"Subcommittee on TARP, Financial Services, and Bailouts of Public and Private Programs",Committee on Oversight and Government Reform,U.S. House of Representatives
Speech,duke20120106a.pdf,2012-01-06,"Economic Developments, Risks to the Outlook, and Housing Market Policies",Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Virginia Bankers Association / Virginia Chamber of Commerce 2012 Financial Forecast,"Richmond, Virginia",0,0,0
Speech,raskin20120106a.pdf,2012-01-06,Community Bank Examination and Supervision amid Economic Recovery,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Maryland Bankers Association First Friday Economic Outlook Forum,"Baltimore, Maryland",0,0,0
Speech,raskin20120107a.pdf,2012-01-07,Creating and Implementing an Enforcement Response to the Foreclosure Crisis,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Association of American Law Schools,"Washington, D.C.",0,0,0
Speech,duke20120113a.pdf,2012-01-13,Opportunities to Reduce Regulatory Burden and Improve Credit Availability,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,2012 Bank Presidents Seminar Sponsored by the California Bankers Association,"Santa Barbara, California",0,0,0
Speech,duke20120116a.pdf,2012-01-16,From Community Banker to Central Banker--My Journey,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,"University of Richmond Robins School of Business, Robins Executive Speaker Series","Richmond, Virginia",0,0,0
Testimony,tarullo20120118a.pdf,2012-01-18,The Volcker Rule,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,Subcommittee on Capital Markets and Government Sponsored Enterprises and Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,bertsch20120201a.pdf,2012-02-01,Banking Supervision,Kevin M. Bertsch,Associate Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20120202a.pdf,2012-02-02,The Economic Outlook and the Federal Budget Situation,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on the Budget,U.S. House of Representatives
Speech,bernanke20120210a.pdf,2012-02-10,Housing Markets in Transition,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,2012 National Association of Home Builders International Builders’ Show,"Orlando, Florida",0,0,0
Speech,bernanke20120216a.pdf,2012-02-16,Community Banking,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,A Conference Sponsored by the Federal Deposit Insurance Corporation,"Arlington, Virginia",0,0,0
Testimony,kamin20120216a.pdf,2012-02-16,The European Financial Situation,Steven B. Kamin,Director Division of International Finance Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,duke20120228a1.pdf,2012-02-28,The Housing Market,Elizabeth A. Duke,Governor Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,bernanke20120229a.pdf,2012-02-29,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,raskin20120301a.pdf,2012-03-01,Accommodative Monetary Policy and Its Effects on Savers,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,At the Y's Men and Y's Women of Westport,"Westport, Connecticut",0,0,0
Speech,bernanke20120314a.pdf,2012-03-14,Community Banking,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Independent Community Bankers of America National Convention and Techworld,"Nashville, Tennessee",0,0,0
Testimony,killian20120319a.pdf,2012-03-19,Foreclosures and the Housing Market (Field Hearing),Suzanne G. Killian,Senior Associate Director Division of Consumer and Community Affairs Board of Governors of the Federal Reserve System,0,0,0,Committee on Oversight and Government Reform,U.S. House of Representatives
Testimony,bernanke20120321a.pdf,2012-03-21,Statement by Ben S. Bernanke,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Oversight and Government Reform,U.S. House of Representatives
Testimony,tarullo20120322a1.pdf,2012-03-22,Regulatory Reform,Daniel K. Tarullo,Governor Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20120323a.pdf,2012-03-23,"“Central Banking: Before, During, and After the Crisis” A Conference Sponsored by the Federal Reserve Board and the International Journal of Central Banking",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,"“Central Banking: Before, During, and After the Crisis” A Conference Sponsored by the Federal Reserve Board and the International Journal of Central Banking","Washington, D.C.",0,0,0
Speech,bernanke20120326a.pdf,2012-03-26,Recent Developments in the Labor Market,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,National Association of Business Economists,"Arlington, Virginia",0,0,0
Speech,duke20120327a.pdf,2012-03-27,Building Sustainable Communities,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,2012 National Interagency Community Reinvestment Conference,"Seattle, Washington",0,0,0
Testimony,kamin20120327a.pdf,2012-03-27,The European Economic and Financial Situation,Steven B. Kamin,Director Division of International Finance Board of Governors of the Federal Reserve System,0,0,Subcommittee on Domestic Monetary Policy and Technology,Committee on Financial Services,U.S. House of Representatives
Testimony,braunstein20120329a.pdf,2012-03-29,Mobile Payments,Sandra F. Braunstein,"Director, Division of Consumer and Community Affairs Board of Governors of the Federal Reserve System",0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20120409a.pdf,2012-04-09,Fostering Financial Stability,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,2012 Financial Markets Conference Sponsored by the Federal Reserve Bank of Atlanta,"Atlanta, Georgia",0,0,0
Speech,tarullo20120410a.pdf,2012-04-10,Developing Tools for Dynamic Capital Supervision,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago Annual Risk Conference,"Chicago, Illinois",0,0,0
Speech,yellen20120411a.pdf,2012-04-11,The Economic Outlook and Monetary Policy,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,Money Marketeers of New York University,"New York, New York",0,0,0
Speech,raskin20120412a.pdf,2012-04-12,Downturns and Recoveries: What the Economies in Los Angeles and the United States Tell Us,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Luncheon for Los Angeles Business and Community Leaders Los Angeles Branch of the Federal Reserve Bank of San Francisco,"San Francisco, California",0,0,0
Speech,bernanke20120413a.pdf,2012-04-13,Some Reflections on the Crisis and the Policy Response,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Conference on “Rethinking Finance: Perspectives on the Crisis” Presented by the Russell Sage Foundation and The Century Foundation,"New York, New York",0,0,0
Speech,tarullo20120502a.pdf,2012-05-02,Regulatory Reform since the Financial Crisis,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Council on Foreign Relations,"New York, New York",0,0,0
Speech,bernanke20120510a.pdf,2012-05-10,Banks and Bank Lending: The State of Play,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,48th Annual Conference on Bank Structure and Competition Sponsored by the Federal Reserve Bank of Chicago,"Chicago, Illinois",0,0,0
Speech,duke20120515a.pdf,2012-05-15,Prescriptions for Housing Recovery,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,National Association of Realtors Midyear Legislative Meetings and Trade Expo,"Washington, D.C.",0,0,0
Testimony,gibson20120516a.pdf,2012-05-16,Systemically important financial institutions and the Dodd-Frank Act,Michael S. Gibson,Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,alvarez20120517a.pdf,2012-05-17,Settlement practices,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,tarullo20120606a.pdf,2012-06-06,Dodd-Frank Act Implementation,Daniel K. Tarullo,Governor Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,yellen20120606a.pdf,2012-06-06,Perspectives on Monetary Policy,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,Boston Economic Club Dinner,"Boston, Massachusetts",0,0,0
Testimony,bernanke20120607a.pdf,2012-06-07,Economic Outlook and Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,tarullo20120612a.pdf,2012-06-12,Shadow Banking After the Financial Crisis,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of San Francisco Conference on Challenges in Global Finance,"San Francisco, California",0,0,0
Testimony,alvarez20120619a.pdf,2012-06-19,Bank supervision and risk management,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,martin20120629a.pdf,2012-06-29,Mobile payments,Stephanie Martin,Associate General Counsel Board of Governors of the Federal Reserve System,0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20120717a1.pdf,2012-07-17,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,duke20120720a.pdf,2012-07-20,Central Bank Cooperation in Times of Crisis,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Center for Latin American Monetary Studies 60th Anniversary Conference,"Mexico City, Mexico",0,0,0
Speech,raskin20120723a.pdf,2012-07-23,How Well Is Our Financial System Serving Us? Working Together to Find the High Road,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,Graduate School of Banking at Colorado,"Boulder, Colorado",0,0,0
Speech,bernanke20120724a.pdf,2012-07-24,Early Childhood Education,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Children’s Defense Fund National Conference,"Cincinnati, Ohio",0,0,0
Testimony,eichner20120802a.pdf,2012-08-02,Tri-party Repo Market,Matthew J. Eichner,Deputy Director of the Division of Research and Statistics Board of Governors of the Federal Reserve System,0,0,"Subcommittee on Securities, Insurance, and Investment","Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20120806a.pdf,2012-08-06,Economic Measurement,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,32nd General Conference of the International Association for Research in Income and Wealth,"Cambridge, Massachusetts",0,0,0
Speech,bernanke20120807a.pdf,2012-08-07,Financial Education,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Conversation with the Chairman: A Teacher Town Hall Meeting,"Washington, D.C.",0,0,0
Speech,bernanke20120831a.pdf,2012-08-31,Monetary Policy since the Onset of the Crisis,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Kansas City Economic Symposium,"Jackson Hole, Wyoming",0,0,0
Speech,bernanke20121001a.pdf,2012-10-01,Five Questions about the Federal Reserve and Monetary Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,The Economic Club of Indiana,"Indianapolis, Indiana",0,0,0
Speech,duke20121005a.pdf,2012-10-05,Addressing Long-Term Vacant Properties to Support Neighborhood Stabilization,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,"Conference on Distressed Residential Real Estate: Dimensions, Impacts, and Remedies","New York, New York",0,0,0
Speech,tarullo20121010a.pdf,2012-10-10,Financial Stability Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Distinguished Jurist Lecture, University of Pennsylvania Law School","Philadelphia, Pennsylvania",0,0,0
Speech,stein20121011a.pdf,2012-10-11,Evaluating Large-Scale Asset Purchases,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,Brookings Institution,"Washington, D.C.",0,0,0
Speech,yellen20121011a.pdf,2012-10-11,Japan in the Global Economy II,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,Institute of International Finance Annual Membership Meeting,"Tokyo, Japan",0,0,0
Speech,bernanke20121014a.pdf,2012-10-14,U.S. Monetary Policy and International Implications,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,“Challenges of the Global Financial System: Risks and Governance under Evolving Globalization” A High-Level Seminar sponsored by Bank of Japan-International Monetary Fund,"Tokyo, Japan",0,0,0
Speech,duke20121109a.pdf,2012-11-09,Community Banks and Mortgage Lending,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Community Bankers Symposium,"Chicago, Illinois",0,0,0
Speech,yellen20121113a.pdf,2012-11-13,Revolution and Evolution in Central Bank Communications,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"Haas School of Business, University of California","Berkeley, California",0,0,0
Testimony,gibson20121114a.pdf,2012-11-14,Basel III,Michael S. Gibson,Director Division of Banking Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20121115a.pdf,2012-11-15,Challenges in Housing and Mortgage Markets,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Operation HOPE Global Financial Dignity Summit,"Atlanta, Georgia",0,0,0
Speech,bernanke20121120a.pdf,2012-11-20,The Economic Recovery and Economic Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,The Economic Club of New York,"New York, New York",0,0,0
Speech,tarullo20121128a.pdf,2012-11-28,Regulation of Foreign Banking Organizations,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Yale School of Management Leaders Forum,"New Haven, Connecticut",0,0,0
Speech,stein20121130a.pdf,2012-11-30,Large-Scale Asset Purchases,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,Third Boston University/Boston Fed Conference on Macro-Finance Linkages,"Boston, Massachusetts",0,0,0
Speech,tarullo20121204a.pdf,2012-12-04,Industry Structure and Systemic Risk Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Brookings Institution Conference on Structuring the Financial Industry to Enhance Economic Growth and Stability,"Washington, D.C.",0,0,0
Speech,stein20121217a.pdf,2012-12-17,Dollar Funding and Global Banks,Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,"Global Research Forum, International Finance and Macroecomomics Sponsored by the European Central Bank","Frankfurt, Germany",0,0,0
Speech,Yellen20130104a.pdf,2013-01-04,Interconnectedness and Systemic Risk: Lessons from the Financial Crisis and Policy Implications,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,American Economic Association/American Finance Association Joint Luncheon,"San Diego, California",0,0,0
Speech,duke20130205a.pdf,2013-02-05,The Future of Community Banking,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,"Southeastern Bank Management and Directors Conference University of Georgia, Terry College of Business","Duluth, Georgia",0,0,0
Speech,stein20130207a.pdf,2013-02-07,"Overheating in Credit Markets: Origins, Measurement, and Policy Responses",Jeremy C. Stein,Member Board of Governors of the Federal Reserve System,“Restoring Household Financial Stability after the Great Recession: Why Household Balance Sheets Matter” A Research Symposium sponsored by the Federal Reserve Bank of St. Louis,"St. Louis, Missouri",0,0,0
Speech,yellen20130211a.pdf,2013-02-11,"A Painfully Slow Recovery for America’s Workers: Causes, Implications, and the Federal Reserve’s Response",Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,"“A Trans-Atlantic Agenda for Shared Prosperity” A Conference Sponsored by the AFL-CIO, Friedrich Ebert Stiftung, and the IMK Macroeconomic Policy Institute Washington, D.C.","Washington, D.C.",0,0,0
Testimony,tarullo20130214a.pdf,2013-02-14,Dodd-Frank Act,Daniel K. Tarullo,Governor Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,powell20130222a.pdf,2013-02-22,Discussion of “Crunch Time: Fiscal Crises and the Role of Monetary Policy”,Jerome H. Powell,Member Board of Governors of the Federal Reserve System,“U.S. Monetary Policy Forum” A Conference Sponsored by the University of Chicago Booth School of Business,"New York, New York",0,0,0
Speech,tarullo20130222a.pdf,2013-02-22,International Cooperation in Financial Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Cornell International Law Journal Symposium: The Changing Politics of Central Banks New York, New York","New York, New York",0,0,0
Testimony,bernanke20130226a.pdf,2013-02-26,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,raskin20130228a.pdf,2013-02-28,Reflections on Reputation and its Consequences,Sarah Bloom Raskin,Member Board of Governors of the Federal Reserve System,2013 Banking Outlook Conference Federal Reserve Bank of Atlanta,"Atlanta, Georgia",0,0,0
